Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Full_data_process without SVMSMOTE,LightGBM,0,0.0886,0.0094,0.7259,0.6316,0.7023,0.7377,0.5514,2852,928,341,509,0.7545,0.5988,0.8932,0.3542
Full_data_process without SVMSMOTE,LightGBM,1,,,,,,,,509,341,928,2852,0.5988,0.7545,0.3542,0.8932
Full_data_process without SVMSMOTE,XGBoost,0,0.0744,0.0045,0.7263,0.6319,0.7026,0.7366,0.5441,2854,928,339,509,0.7546,0.6002,0.8938,0.3542
Full_data_process without SVMSMOTE,XGBoost,1,,,,,,,,509,339,928,2854,0.6002,0.7546,0.3542,0.8938
Full_data_process without SVMSMOTE,GradientBoosting_80,0,1.8971,0.0128,0.719,0.5643,0.6628,0.7357,0.5507,3044,1152,149,285,0.7255,0.6567,0.9533,0.1983
Full_data_process without SVMSMOTE,GradientBoosting_80,1,,,,,,,,285,149,1152,3044,0.6567,0.7255,0.1983,0.9533
Full_data_process without SVMSMOTE,RandomForest,0,2.3884,0.1032,0.7257,0.6002,0.6852,0.7247,0.5354,2977,1054,216,383,0.7385,0.6394,0.9324,0.2665
Full_data_process without SVMSMOTE,RandomForest,1,,,,,,,,383,216,1054,2977,0.6394,0.7385,0.2665,0.9324
Full_data_process without SVMSMOTE,GradientBoosting_100,0,2.2748,0.0147,0.7253,0.5856,0.6768,0.7382,0.5547,3023,1102,170,335,0.7328,0.6634,0.9468,0.2331
Full_data_process without SVMSMOTE,GradientBoosting_100,1,,,,,,,,335,170,1102,3023,0.6634,0.7328,0.2331,0.9468
Full_data_process without SVMSMOTE,Naive Bayes,0,0.0058,0.0033,0.6315,0.581,0.6362,0.6321,0.4232,2266,779,927,658,0.7442,0.4151,0.7097,0.4579
Full_data_process without SVMSMOTE,Naive Bayes,1,,,,,,,,658,927,779,2266,0.4151,0.7442,0.4579,0.7097
Full_data_process without SVMSMOTE,LogisticRegression,0,1.0656,0.004,0.7026,0.5664,0.6586,0.6688,0.472,2924,1108,269,329,0.7252,0.5502,0.9158,0.2289
Full_data_process without SVMSMOTE,LogisticRegression,1,,,,,,,,329,269,1108,2924,0.5502,0.7252,0.2289,0.9158
Full_data_process without SVMSMOTE,ElasticNetLR,0,8.3442,0.0063,0.6983,0.5531,0.6497,0.6674,0.4703,2936,1140,257,297,0.7203,0.5361,0.9195,0.2067
Full_data_process without SVMSMOTE,ElasticNetLR,1,,,,,,,,297,257,1140,2936,0.5361,0.7203,0.2067,0.9195
Full_data_process without SVMSMOTE,SVM,0,199.1613,20.3664,0.6838,0.4652,0.5949,0.5662,0.3676,3063,1334,130,103,0.6966,0.4421,0.9593,0.0717
Full_data_process without SVMSMOTE,SVM,1,,,,,,,,103,130,1334,3063,0.4421,0.6966,0.0717,0.9593
Full_data_process without SVMSMOTE,Stacking,0,10.8158,0.2399,0.7296,0.6084,0.691,0.7392,0.5597,2977,1036,216,401,0.7418,0.6499,0.9324,0.2791
Full_data_process without SVMSMOTE,Stacking,1,,,,,,,,401,216,1036,2977,0.6499,0.7418,0.2791,0.9324
