Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Full_data_raw without SVMSMOTE,LightGBM,0,8.4807,0.0103,0.6621,0.6375,0.6767,0.7388,0.5712,101,20,54,44,0.8347,0.449,0.6516,0.6875
Full_data_raw without SVMSMOTE,LightGBM,1,,,,,,,,44,54,20,101,0.449,0.8347,0.6875,0.6516
Full_data_raw without SVMSMOTE,XGBoost,0,29.5528,0.0103,0.6621,0.6357,0.6764,0.7461,0.5886,102,21,53,43,0.8293,0.4479,0.6581,0.6719
Full_data_raw without SVMSMOTE,XGBoost,1,,,,,,,,43,53,21,102,0.4479,0.8293,0.6719,0.6581
Full_data_raw without SVMSMOTE,GradientBoosting_80,0,29.0756,0.0235,0.5708,0.5668,0.5841,0.7414,0.5602,73,12,82,52,0.8588,0.3881,0.471,0.8125
Full_data_raw without SVMSMOTE,GradientBoosting_80,1,,,,,,,,52,82,12,73,0.3881,0.8588,0.8125,0.471
Full_data_raw without SVMSMOTE,RandomForest,0,47.6214,0.0725,0.7352,0.6932,0.7403,0.7723,0.5943,121,24,34,40,0.8345,0.5405,0.7806,0.625
Full_data_raw without SVMSMOTE,RandomForest,1,,,,,,,,40,34,24,121,0.5405,0.8345,0.625,0.7806
Full_data_raw without SVMSMOTE,GradientBoosting_100,0,55.4092,0.0172,0.589,0.5806,0.6053,0.7395,0.557,80,15,75,49,0.8421,0.3952,0.5161,0.7656
Full_data_raw without SVMSMOTE,GradientBoosting_100,1,,,,,,,,49,75,15,80,0.3952,0.8421,0.7656,0.5161
Full_data_raw without SVMSMOTE,Naive Bayes,0,24.8705,0.0058,0.5434,0.5374,0.5593,0.6117,0.3597,72,17,83,47,0.809,0.3615,0.4645,0.7344
Full_data_raw without SVMSMOTE,Naive Bayes,1,,,,,,,,47,83,17,72,0.3615,0.809,0.7344,0.4645
Full_data_raw without SVMSMOTE,LogisticRegression,0,8.0053,0.0049,0.5936,0.5858,0.6094,0.7101,0.483,80,14,75,50,0.8511,0.4,0.5161,0.7812
Full_data_raw without SVMSMOTE,LogisticRegression,1,,,,,,,,50,75,14,80,0.4,0.8511,0.7812,0.5161
Full_data_raw without SVMSMOTE,ElasticNetLR,0,25.242,0.0046,0.5936,0.5858,0.6094,0.7099,0.4827,80,14,75,50,0.8511,0.4,0.5161,0.7812
Full_data_raw without SVMSMOTE,ElasticNetLR,1,,,,,,,,50,75,14,80,0.4,0.8511,0.7812,0.5161
Full_data_raw without SVMSMOTE,SVM,0,186.7178,1.2327,0.6621,0.6472,0.6773,0.7734,0.6351,95,14,60,50,0.8716,0.4545,0.6129,0.7812
Full_data_raw without SVMSMOTE,SVM,1,,,,,,,,50,60,14,95,0.4545,0.8716,0.7812,0.6129
Full_data_raw without SVMSMOTE,Stacking,0,64.1027,0.0678,0.6621,0.6394,0.677,0.7483,0.5692,100,19,55,45,0.8403,0.45,0.6452,0.7031
Full_data_raw without SVMSMOTE,Stacking,1,,,,,,,,45,55,19,100,0.45,0.8403,0.7031,0.6452
