Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Full_data_raw without SVMSMOTE,LightGBM,0,80.1394,0.0025,0.7397,0.6948,0.7435,0.7515,0.5556,123,25,32,39,0.8311,0.5493,0.7935,0.6094
Full_data_raw without SVMSMOTE,LightGBM,1,,,,,,,,39,32,25,123,0.5493,0.8311,0.6094,0.7935
Full_data_raw without SVMSMOTE,XGBoost,0,76.5788,0.004,0.7443,0.6909,0.7443,0.7485,0.5509,127,28,28,36,0.8194,0.5625,0.8194,0.5625
Full_data_raw without SVMSMOTE,XGBoost,1,,,,,,,,36,28,28,127,0.5625,0.8194,0.5625,0.8194
Full_data_raw without SVMSMOTE,GradientBoosting_80,0,61.9182,0.002,0.7078,0.6712,0.7168,0.7412,0.545,114,23,41,41,0.8321,0.5,0.7355,0.6406
Full_data_raw without SVMSMOTE,GradientBoosting_80,1,,,,,,,,41,41,23,114,0.5,0.8321,0.6406,0.7355
Full_data_raw without SVMSMOTE,RandomForest,0,114.3921,0.0184,0.7489,0.6978,0.7494,0.7241,0.5175,127,27,28,37,0.8247,0.5692,0.8194,0.5781
Full_data_raw without SVMSMOTE,RandomForest,1,,,,,,,,37,28,27,127,0.5692,0.8247,0.5781,0.8194
Full_data_raw without SVMSMOTE,GradientBoosting_100,0,85.3001,0.002,0.7123,0.6775,0.7215,0.7437,0.5516,114,22,41,42,0.8382,0.506,0.7355,0.6562
Full_data_raw without SVMSMOTE,GradientBoosting_100,1,,,,,,,,42,41,22,114,0.506,0.8382,0.6562,0.7355
Full_data_raw without SVMSMOTE,Naive Bayes,0,49.5065,0.0025,0.6256,0.5388,0.6219,0.5403,0.3075,116,43,39,21,0.7296,0.35,0.7484,0.3281
Full_data_raw without SVMSMOTE,Naive Bayes,1,,,,,,,,21,39,43,116,0.35,0.7296,0.3281,0.7484
Full_data_raw without SVMSMOTE,LogisticRegression,0,48.705,0.0012,0.6301,0.5932,0.6441,0.6343,0.4328,102,28,53,36,0.7846,0.4045,0.6581,0.5625
Full_data_raw without SVMSMOTE,LogisticRegression,1,,,,,,,,36,53,28,102,0.4045,0.7846,0.5625,0.6581
Full_data_raw without SVMSMOTE,ElasticNetLR,0,54.7623,0.0013,0.7032,0.6168,0.6924,0.612,0.4259,129,39,26,25,0.7679,0.4902,0.8323,0.3906
Full_data_raw without SVMSMOTE,ElasticNetLR,1,,,,,,,,25,26,39,129,0.4902,0.7679,0.3906,0.8323
Full_data_raw without SVMSMOTE,SVM,0,801.4819,1.9375,0.7078,0.4144,0.5866,0.5846,0.3724,155,64,0,0,0.7078,0.0,1.0,0.0
Full_data_raw without SVMSMOTE,SVM,1,,,,,,,,0,0,64,155,0.0,0.7078,0.0,1.0
Full_data_raw without SVMSMOTE,Stacking,0,164.6107,0.0662,0.7443,0.706,0.7501,0.7435,0.5429,121,22,34,42,0.8462,0.5526,0.7806,0.6562
Full_data_raw without SVMSMOTE,Stacking,1,,,,,,,,42,34,22,121,0.5526,0.8462,0.6562,0.7806
