Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Scale hba1c in test,LightGBM,0,0.111,0.0063,0.7288,0.6529,0.7139,0.7458,0.5687,1817,551,273,397,0.7673,0.5925,0.8694,0.4188
Scale hba1c in test,LightGBM,1,,,,,,,,397,273,551,1817,0.5925,0.7673,0.4188,0.8694
Scale hba1c in test,XGBoost,0,0.0831,0.0041,0.7265,0.6482,0.7106,0.7402,0.5584,1820,561,270,387,0.7644,0.589,0.8708,0.4082
Scale hba1c in test,XGBoost,1,,,,,,,,387,270,561,1820,0.589,0.7644,0.4082,0.8708
Scale hba1c in test,GradientBoosting_80,0,2.227,0.0092,0.7238,0.5924,0.6794,0.7359,0.5591,1962,711,128,237,0.734,0.6493,0.9388,0.25
Scale hba1c in test,GradientBoosting_80,1,,,,,,,,237,128,711,1962,0.6493,0.734,0.25,0.9388
Scale hba1c in test,RandomForest,0,3.0385,0.0786,0.7344,0.6297,0.7037,0.7324,0.5466,1923,640,167,308,0.7503,0.6484,0.9201,0.3249
Scale hba1c in test,RandomForest,1,,,,,,,,308,167,640,1923,0.6484,0.7503,0.3249,0.9201
Scale hba1c in test,GradientBoosting_100,0,2.936,0.0097,0.7294,0.6135,0.693,0.7386,0.5619,1940,672,150,276,0.7427,0.6479,0.9282,0.2911
Scale hba1c in test,GradientBoosting_100,1,,,,,,,,276,150,672,1940,0.6479,0.7427,0.2911,0.9282
Scale hba1c in test,Naive Bayes,0,0.0072,0.0024,0.6234,0.5712,0.6275,0.6129,0.3978,1477,531,613,417,0.7356,0.4049,0.7067,0.4399
Scale hba1c in test,Naive Bayes,1,,,,,,,,417,613,531,1477,0.4049,0.7356,0.4399,0.7067
Scale hba1c in test,LogisticRegression,0,0.4053,0.0016,0.6955,0.5361,0.6383,0.6673,0.4724,1947,782,143,166,0.7134,0.5372,0.9316,0.1751
Scale hba1c in test,LogisticRegression,1,,,,,,,,166,143,782,1947,0.5372,0.7134,0.1751,0.9316
Scale hba1c in test,ElasticNetLR,0,8.4257,0.0057,0.6955,0.5003,0.6177,0.6622,0.463,2006,841,84,107,0.7046,0.5602,0.9598,0.1129
Scale hba1c in test,ElasticNetLR,1,,,,,,,,107,84,841,2006,0.5602,0.7046,0.1129,0.9598
Scale hba1c in test,Stacking,0,12.1931,0.2054,0.7314,0.6332,0.7045,0.7435,0.5726,1897,623,193,325,0.7528,0.6274,0.9077,0.3428
Scale hba1c in test,Stacking,1,,,,,,,,325,193,623,1897,0.6274,0.7528,0.3428,0.9077
