Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Scale hba1c in test,LightGBM,0,0.1065,0.0156,0.7383,0.6681,0.7255,0.7506,0.5799,1820,525,270,423,0.7761,0.6104,0.8708,0.4462
Scale hba1c in test,LightGBM,1,,,,,,,,423,270,525,1820,0.6104,0.7761,0.4462,0.8708
Scale hba1c in test,XGBoost,0,0.1032,0.0094,0.735,0.6595,0.7198,0.7456,0.5672,1832,547,258,401,0.7701,0.6085,0.8766,0.423
Scale hba1c in test,XGBoost,1,,,,,,,,401,258,547,1832,0.6085,0.7701,0.423,0.8766
Scale hba1c in test,GradientBoosting_80,0,2.3812,0.0143,0.7288,0.5991,0.6848,0.7426,0.5684,1971,705,119,243,0.7365,0.6713,0.9431,0.2563
Scale hba1c in test,GradientBoosting_80,1,,,,,,,,243,119,705,1971,0.6713,0.7365,0.2563,0.9431
Scale hba1c in test,RandomForest,0,2.7893,0.0869,0.736,0.6336,0.7064,0.7407,0.5668,1921,633,169,315,0.7522,0.6508,0.9191,0.3323
Scale hba1c in test,RandomForest,1,,,,,,,,315,169,633,1921,0.6508,0.7522,0.3323,0.9191
Scale hba1c in test,GradientBoosting_100,0,3.0188,0.0138,0.7344,0.6187,0.6977,0.7459,0.5717,1952,669,138,279,0.7448,0.6691,0.934,0.2943
Scale hba1c in test,GradientBoosting_100,1,,,,,,,,279,138,669,1952,0.6691,0.7448,0.2943,0.934
Scale hba1c in test,Naive Bayes,0,0.0158,0.0078,0.6017,0.5866,0.6163,0.6587,0.4319,1204,324,886,624,0.788,0.4132,0.5761,0.6582
Scale hba1c in test,Naive Bayes,1,,,,,,,,624,886,324,1204,0.4132,0.788,0.6582,0.5761
Scale hba1c in test,LogisticRegression,0,0.0345,0.0064,0.7169,0.5964,0.6793,0.7265,0.535,1919,689,171,259,0.7358,0.6023,0.9182,0.2732
Scale hba1c in test,LogisticRegression,1,,,,,,,,259,171,689,1919,0.6023,0.7358,0.2732,0.9182
Scale hba1c in test,ElasticNetLR,0,0.8083,0.0067,0.7172,0.5967,0.6796,0.7266,0.5349,1920,689,170,259,0.7359,0.6037,0.9187,0.2732
Scale hba1c in test,ElasticNetLR,1,,,,,,,,259,170,689,1920,0.6037,0.7359,0.2732,0.9187
Scale hba1c in test,Stacking,0,12.5378,0.1959,0.734,0.6449,0.7118,0.7481,0.5797,1876,594,214,354,0.7595,0.6232,0.8976,0.3734
Scale hba1c in test,Stacking,1,,,,,,,,354,214,594,1876,0.6232,0.7595,0.3734,0.8976
