Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Scale hba1c in test,LightGBM,0,80.3475,0.0067,0.733,0.6773,0.7277,0.7473,0.5629,1745,466,345,482,0.7892,0.5828,0.8349,0.5084
Scale hba1c in test,LightGBM,1,,,,,,,,482,345,466,1745,0.5828,0.7892,0.5084,0.8349
Scale hba1c in test,XGBoost,0,63.7435,0.0045,0.7321,0.6793,0.7282,0.7466,0.5648,1728,452,362,496,0.7927,0.5781,0.8268,0.5232
Scale hba1c in test,XGBoost,1,,,,,,,,496,362,452,1728,0.5781,0.7927,0.5232,0.8268
Scale hba1c in test,GradientBoosting_80,0,72.8534,0.0074,0.6988,0.6577,0.7023,0.726,0.5404,1588,413,502,535,0.7936,0.5159,0.7598,0.5643
Scale hba1c in test,GradientBoosting_80,1,,,,,,,,535,502,413,1588,0.5159,0.7936,0.5643,0.7598
Scale hba1c in test,RandomForest,0,82.2657,0.1421,0.7172,0.6518,0.7086,0.7272,0.5438,1748,517,342,431,0.7717,0.5576,0.8364,0.4546
Scale hba1c in test,RandomForest,1,,,,,,,,431,342,517,1748,0.5576,0.7717,0.4546,0.8364
Scale hba1c in test,GradientBoosting_100,0,119.1702,0.0125,0.7031,0.6589,0.705,0.7311,0.5476,1615,427,475,521,0.7909,0.5231,0.7727,0.5496
Scale hba1c in test,GradientBoosting_100,1,,,,,,,,521,475,427,1615,0.5231,0.7909,0.5496,0.7727
Scale hba1c in test,Naive Bayes,0,81.1828,0.0048,0.608,0.5753,0.6196,0.6091,0.4009,1345,446,745,502,0.751,0.4026,0.6435,0.5295
Scale hba1c in test,Naive Bayes,1,,,,,,,,502,745,446,1345,0.4026,0.751,0.5295,0.6435
Scale hba1c in test,LogisticRegression,0,128.9914,0.0064,0.6096,0.5903,0.6237,0.6586,0.4594,1256,352,834,596,0.7811,0.4168,0.601,0.6287
Scale hba1c in test,LogisticRegression,1,,,,,,,,596,834,352,1256,0.4168,0.7811,0.6287,0.601
Scale hba1c in test,ElasticNetLR,0,142.7234,0.0044,0.6152,0.5916,0.6285,0.6551,0.4539,1300,379,790,569,0.7743,0.4187,0.622,0.6002
Scale hba1c in test,ElasticNetLR,1,,,,,,,,569,790,379,1300,0.4187,0.7743,0.6002,0.622
Scale hba1c in test,Stacking,0,130.9064,0.1843,0.7126,0.6645,0.7123,0.7374,0.5557,1658,441,432,507,0.7899,0.5399,0.7933,0.5348
Scale hba1c in test,Stacking,1,,,,,,,,507,432,441,1658,0.5399,0.7899,0.5348,0.7933
