Data versioning,Model,Label,Training time,Test time,ACC,ACC balanced,MCC,CohenKappa,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Scale hba1c in test - smote+preprocess,LightGBM,0,5.6879,0.0174,0.7143,0.6797,0.3514,0.3506,0.675,0.7175,0.7492,0.5811,1613,391,477,557,0.8049,0.5387,0.7718,0.5876
Scale hba1c in test - smote+preprocess,LightGBM,1,,,,,,,,,,,557,477,391,1613,0.5387,0.8049,0.5876,0.7718
Scale hba1c in test - smote+preprocess,XGBoost,0,3.9628,0.0116,0.7061,0.6841,0.3528,0.3497,0.6735,0.7123,0.7466,0.5737,1552,355,538,593,0.8138,0.5243,0.7426,0.6255
Scale hba1c in test - smote+preprocess,XGBoost,1,,,,,,,,,,,593,538,355,1552,0.5243,0.8138,0.6255,0.7426
Scale hba1c in test - smote+preprocess,GradientBoosting_80,0,9.0533,0.012,0.6866,0.6815,0.3409,0.3321,0.662,0.6963,0.742,0.57,1453,315,637,633,0.8218,0.4984,0.6952,0.6677
Scale hba1c in test - smote+preprocess,GradientBoosting_80,1,,,,,,,,,,,633,637,315,1453,0.4984,0.8218,0.6677,0.6952
Scale hba1c in test - smote+preprocess,RandomForest,0,7.8788,0.0861,0.7258,0.6618,0.3382,0.3363,0.6674,0.7198,0.737,0.5657,1739,482,351,466,0.783,0.5704,0.8321,0.4916
Scale hba1c in test - smote+preprocess,RandomForest,1,,,,,,,,,,,466,351,482,1739,0.5704,0.783,0.4916,0.8321
Scale hba1c in test - smote+preprocess,Naive Bayes,0,3.7162,0.0117,0.6346,0.6489,0.2761,0.2592,0.6184,0.648,0.6852,0.4778,1277,297,813,651,0.8113,0.4447,0.611,0.6867
Scale hba1c in test - smote+preprocess,Naive Bayes,1,,,,,,,,,,,651,813,297,1277,0.4447,0.8113,0.6867,0.611
Scale hba1c in test - smote+preprocess,LogisticRegression,0,3.8389,0.0064,0.6323,0.6573,0.2915,0.2686,0.6199,0.6457,0.7222,0.5286,1235,262,855,686,0.825,0.4452,0.5909,0.7236
