Data versioning,Model,Label,Training time,Test time,ACC,ACC balanced,MCC,CohenKappa,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
smote+preprocess,LightGBM,0,5.9561,0.0153,0.7002,0.6828,0.3476,0.3429,0.6694,0.7077,0.7471,0.5752,2326,521,867,915,0.817,0.5135,0.7285,0.6372
,,1,,,,,,,,,,,915,867,521,2326,0.5135,0.817,0.6372,0.7285
,XGBoost,0,5.8464,0.0119,0.6919,0.683,0.3446,0.3371,0.6652,0.7011,0.7485,0.575,2256,489,937,947,0.8219,0.5027,0.7065,0.6595
,,1,,,,,,,,,,,947,937,489,2256,0.5027,0.8219,0.6595,0.7065
,GradientBoosting_80,0,12.7877,0.0346,0.6647,0.6698,0.3158,0.3024,0.6441,0.6766,0.7378,0.5584,2096,455,1097,981,0.8216,0.4721,0.6564,0.6831
,,1,,,,,,,,,,,981,1097,455,2096,0.4721,0.8216,0.6831,0.6564
,RandomForest,0,12.8962,0.1174,0.701,0.6773,0.3397,0.3367,0.667,0.7074,0.74,0.5573,2362,553,831,883,0.8103,0.5152,0.7397,0.6149
,,1,,,,,,,,,,,883,831,553,2362,0.5152,0.8103,0.6149,0.7397
,Naive Bayes,0,5.716,0.0136,0.636,0.6501,0.278,0.2609,0.6193,0.6496,0.7122,0.4854,1957,449,1236,987,0.8134,0.444,0.6129,0.6873
,,1,,,,,,,,,,,987,1236,449,1957,0.444,0.8134,0.6873,0.6129
,LogisticRegression,0,5.7732,0.0075,0.6502,0.6777,0.3288,0.3031,0.6379,0.6633,0.7404,0.5484,1933,359,1260,1077,0.8434,0.4608,0.6054,0.75
,,1,,,,,,,,,,,1077,1260,359,1933,0.4608,0.8434,0.75,0.6054
,ElasticNetLR,0,6.1143,0.0094,0.6507,0.678,0.3294,0.3037,0.6383,0.6637,0.7404,0.5485,1935,359,1258,1077,0.8435,0.4612,0.606,0.75
,,1,,,,,,,,,,,1077,1258,359,1935,0.4612,0.8435,0.75,0.606
,Stacking,0,35.3448,0.2874,0.6801,0.6777,0.3324,0.3222,0.6562,0.6906,0.744,0.5736,2184,472,1009,964,0.8223,0.4886,0.684,0.6713
,,1,,,,,,,,,,,964,1009,472,2184,0.4886,0.8223,0.6713,0.684
