Variable,Category,Count,Percentage
Gender,2.0,18498,50.81%
Gender,1.0,17910,49.19%
Race,3.0,16117,44.27%
Race,4.0,8289,22.77%
Race,1.0,7237,19.88%
Race,2.0,2464,6.77%
Race,5.0,2301,6.32%
familysize,2.0,9342,25.66%
familysize,4.0,6751,18.54%
familysize,3.0,6551,17.99%
familysize,5.0,4793,13.16%
familysize,1.0,3915,10.75%
familysize,7.0,2644,7.26%
familysize,6.0,2412,6.62%
SmokeFam,0,28555,78.43%
SmokeFam,1,7853,21.57%
milk_consumption,3.0,17142,47.08%
milk_consumption,2.0,9493,26.07%
milk_consumption,1.0,4917,13.51%
milk_consumption,0.0,4856,13.34%
Hba1c,0,33661,92.45%
Hba1c,1,2747,7.55%
Age,"Median(Q1,Q3)","38.00(20.00,59.00)",
PIR,"Median(Q1,Q3)","2.00(1.04,3.88)",
BMI,"Median(Q1,Q3)","26.61(22.75,31.16)",
