Model,Label,Training time,ACC,F1_macro,F1_weighted,AUC,PPV,NPV,SEN,SPE
LightGBM,0,5.4824,0.7132,0.67,0.7153,0.7438,0.7997,0.5359,0.7792,0.5665
LightGBM,1,,,,,,0.5359,0.7997,0.5665,0.7792
XGBoost,0,3.9182,0.6996,0.6638,0.7054,0.7419,0.8056,0.5137,0.7438,0.6013
XGBoost,1,,,,,,0.5137,0.8056,0.6013,0.7438
GradiantBoosting,0,8.8709,0.6862,0.6595,0.6956,0.7378,0.8182,0.4958,0.7006,0.6541
GradiantBoosting,1,,,,,,0.4958,0.8182,0.6541,0.7006
RandomForest,0,8.0195,0.7199,0.6568,0.7126,0.7297,0.777,0.5579,0.8328,0.469
RandomForest,1,,,,,,0.5579,0.777,0.469,0.8328
GradientBoosting,0,19.0136,0.6907,0.6637,0.6999,0.7413,0.8203,0.5013,0.7062,0.6562
GradientBoosting,1,,,,,,0.5013,0.8203,0.6562,0.7062
Naive Bayes,0,3.6573,0.6274,0.61,0.6413,0.6771,0.8038,0.435,0.6082,0.6701
Naive Bayes,1,,,,,,0.435,0.8038,0.6701,0.6082
Stacking,0,34.9845,0.7233,0.6781,0.7239,0.7393,0.8014,0.5535,0.7961,0.5616
Stacking,1,,,,,,0.5535,0.8014,0.5616,0.7961
