Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Full_data_process without SVMSMOTE,LightGBM,0,4.0119,0.0148,0.681,0.6603,0.6918,0.7442,0.5752,1410,289,680,659,0.8299,0.4922,0.6746,0.6951
Full_data_process without SVMSMOTE,LightGBM,1,,,,,,,,659,680,289,1410,0.4922,0.8299,0.6951,0.6746
Full_data_process without SVMSMOTE,XGBoost,0,3.9062,0.0095,0.7014,0.6715,0.7088,0.7455,0.5724,1524,341,566,607,0.8172,0.5175,0.7292,0.6403
Full_data_process without SVMSMOTE,XGBoost,1,,,,,,,,607,566,341,1524,0.5175,0.8172,0.6403,0.7292
Full_data_process without SVMSMOTE,GradientBoosting_80,0,9.0394,0.0124,0.687,0.6629,0.6968,0.742,0.5688,1449,310,641,638,0.8238,0.4988,0.6933,0.673
Full_data_process without SVMSMOTE,GradientBoosting_80,1,,,,,,,,638,641,310,1449,0.4988,0.8238,0.673,0.6933
Full_data_process without SVMSMOTE,RandomForest,0,8.111,0.0854,0.7222,0.6667,0.7178,0.7314,0.5587,1717,471,373,477,0.7847,0.5612,0.8215,0.5032
Full_data_process without SVMSMOTE,RandomForest,1,,,,,,,,477,373,471,1717,0.5612,0.7847,0.5032,0.8215
Full_data_process without SVMSMOTE,GradientBoosting_100,0,10.0079,0.0137,0.6909,0.6667,0.7005,0.7444,0.5725,1459,308,631,640,0.8257,0.5035,0.6981,0.6751
Full_data_process without SVMSMOTE,GradientBoosting_100,1,,,,,,,,640,631,308,1459,0.5035,0.8257,0.6751,0.6981
Full_data_process without SVMSMOTE,Naive Bayes,0,3.8272,0.0121,0.312,0.2382,0.149,0.4997,0.6556,1,1,2089,947,0.5,0.3119,0.0005,0.9989
Full_data_process without SVMSMOTE,Naive Bayes,1,,,,,,,,947,2089,1,1,0.3119,0.5,0.9989,0.0005
Full_data_process without SVMSMOTE,LogisticRegression,0,3.8429,0.0062,0.7225,0.5831,0.6737,0.7321,0.5448,1976,729,114,219,0.7305,0.6577,0.9455,0.231
Full_data_process without SVMSMOTE,LogisticRegression,1,,,,,,,,219,114,729,1976,0.6577,0.7305,0.231,0.9455
Full_data_process without SVMSMOTE,ElasticNetLR,0,3.9507,0.0073,0.7222,0.5828,0.6734,0.732,0.5447,1975,729,115,219,0.7304,0.6557,0.945,0.231
Full_data_process without SVMSMOTE,ElasticNetLR,1,,,,,,,,219,115,729,1975,0.6557,0.7304,0.231,0.945
Full_data_process without SVMSMOTE,SVM,0,133.4124,4.04,0.7051,0.5076,0.6248,0.6656,0.4969,2033,839,57,109,0.7079,0.6566,0.9727,0.115
Full_data_process without SVMSMOTE,SVM,1,,,,,,,,109,57,839,2033,0.6566,0.7079,0.115,0.9727
Full_data_process without SVMSMOTE,Stacking,0,28.9538,0.3151,0.7304,0.6752,0.7255,0.7444,0.5724,1736,465,354,483,0.7887,0.5771,0.8306,0.5095
Full_data_process without SVMSMOTE,Stacking,1,,,,,,,,483,354,465,1736,0.5771,0.7887,0.5095,0.8306
