Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Full_data_process without SVMSMOTE,LightGBM,0,29.832,0.006,0.7288,0.6605,0.7177,0.7411,0.5519,1788,522,302,426,0.774,0.5852,0.8555,0.4494
Full_data_process without SVMSMOTE,LightGBM,1,,,,,,,,426,302,522,1788,0.5852,0.774,0.4494,0.8555
Full_data_process without SVMSMOTE,XGBoost,0,45.5319,0.0043,0.7301,0.6687,0.7223,0.7382,0.5506,1763,493,327,455,0.7815,0.5818,0.8435,0.48
Full_data_process without SVMSMOTE,XGBoost,1,,,,,,,,455,327,493,1763,0.5818,0.7815,0.48,0.8435
Full_data_process without SVMSMOTE,GradientBoosting_80,0,35.9224,0.0074,0.7047,0.6582,0.7056,0.7289,0.5428,1631,438,459,510,0.7883,0.5263,0.7804,0.538
Full_data_process without SVMSMOTE,GradientBoosting_80,1,,,,,,,,510,459,438,1631,0.5263,0.7883,0.538,0.7804
Full_data_process without SVMSMOTE,RandomForest,0,29.848,0.1717,0.714,0.6297,0.6961,0.7207,0.535,1809,588,281,360,0.7547,0.5616,0.8656,0.3797
Full_data_process without SVMSMOTE,RandomForest,1,,,,,,,,360,281,588,1809,0.5616,0.7547,0.3797,0.8656
Full_data_process without SVMSMOTE,GradientBoosting_100,0,26.8933,0.0096,0.7126,0.6656,0.7128,0.7334,0.55,1652,435,438,513,0.7916,0.5394,0.7904,0.5411
Full_data_process without SVMSMOTE,GradientBoosting_100,1,,,,,,,,513,438,435,1652,0.5394,0.7916,0.5411,0.7904
Full_data_process without SVMSMOTE,Naive Bayes,0,33.7236,0.0028,0.688,0.4076,0.5608,0.5604,0.3715,2090,948,0,0,0.688,0.0,1.0,0.0
Full_data_process without SVMSMOTE,Naive Bayes,1,,,,,,,,0,0,948,2090,0.0,0.688,0.0,1.0
Full_data_process without SVMSMOTE,LogisticRegression,0,27.7835,0.0014,0.688,0.4086,0.5614,0.6535,0.4663,2089,947,1,1,0.6881,0.5,0.9995,0.0011
Full_data_process without SVMSMOTE,LogisticRegression,1,,,,,,,,1,1,947,2089,0.5,0.6881,0.0011,0.9995
Full_data_process without SVMSMOTE,ElasticNetLR,0,47.4252,0.0018,0.6932,0.4395,0.5813,0.657,0.4679,2075,917,15,31,0.6935,0.6739,0.9928,0.0327
Full_data_process without SVMSMOTE,ElasticNetLR,1,,,,,,,,31,15,917,2075,0.6739,0.6935,0.0327,0.9928
Full_data_process without SVMSMOTE,Stacking,0,39.9691,0.1676,0.71,0.6604,0.7092,0.7343,0.5487,1659,450,431,498,0.7866,0.5361,0.7938,0.5253
Full_data_process without SVMSMOTE,Stacking,1,,,,,,,,498,431,450,1659,0.5361,0.7866,0.5253,0.7938
