Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Full_data_raw without SVMSMOTE,LightGBM,0,0.0978,0.0065,0.7334,0.6578,0.7182,0.7498,0.5769,1828,548,262,400,0.7694,0.6042,0.8746,0.4219
Full_data_raw without SVMSMOTE,LightGBM,1,,,,,,,,400,262,548,1828,0.6042,0.7694,0.4219,0.8746
Full_data_raw without SVMSMOTE,XGBoost,0,0.0879,0.0045,0.7275,0.6518,0.7128,0.7469,0.5717,1813,551,277,397,0.7669,0.589,0.8675,0.4188
Full_data_raw without SVMSMOTE,XGBoost,1,,,,,,,,397,277,551,1813,0.589,0.7669,0.4188,0.8675
Full_data_raw without SVMSMOTE,GradientBoosting_80,0,2.5725,0.0083,0.7225,0.5877,0.6764,0.7383,0.5607,1966,719,124,229,0.7322,0.6487,0.9407,0.2416
Full_data_raw without SVMSMOTE,GradientBoosting_80,1,,,,,,,,229,124,719,1966,0.6487,0.7322,0.2416,0.9407
Full_data_raw without SVMSMOTE,RandomForest,0,3.6525,0.0877,0.7363,0.6364,0.708,0.7364,0.5582,1915,626,175,322,0.7536,0.6479,0.9163,0.3397
Full_data_raw without SVMSMOTE,RandomForest,1,,,,,,,,322,175,626,1915,0.6479,0.7536,0.3397,0.9163
Full_data_raw without SVMSMOTE,GradientBoosting_100,0,4.3305,0.0237,0.7288,0.6117,0.6919,0.7418,0.5667,1941,675,149,273,0.742,0.6469,0.9287,0.288
Full_data_raw without SVMSMOTE,GradientBoosting_100,1,,,,,,,,273,149,675,1941,0.6469,0.742,0.288,0.9287
Full_data_raw without SVMSMOTE,Naive Bayes,0,0.0126,0.0041,0.6587,0.5461,0.631,0.6222,0.3978,1757,704,333,244,0.7139,0.4229,0.8407,0.2574
Full_data_raw without SVMSMOTE,Naive Bayes,1,,,,,,,,244,333,704,1757,0.4229,0.7139,0.2574,0.8407
Full_data_raw without SVMSMOTE,LogisticRegression,0,0.9943,0.0045,0.7001,0.5343,0.6387,0.6663,0.4704,1970,791,120,157,0.7135,0.5668,0.9426,0.1656
Full_data_raw without SVMSMOTE,LogisticRegression,1,,,,,,,,157,120,791,1970,0.5668,0.7135,0.1656,0.9426
Full_data_raw without SVMSMOTE,ElasticNetLR,0,5.1075,0.0017,0.6929,0.4681,0.5981,0.6544,0.4535,2040,883,50,65,0.6979,0.5652,0.9761,0.0686
Full_data_raw without SVMSMOTE,ElasticNetLR,1,,,,,,,,65,50,883,2040,0.5652,0.6979,0.0686,0.9761
Full_data_raw without SVMSMOTE,Stacking,0,14.5382,0.2628,0.7363,0.6408,0.7104,0.7453,0.5735,1902,613,188,335,0.7563,0.6405,0.91,0.3534
Full_data_raw without SVMSMOTE,Stacking,1,,,,,,,,335,188,613,1902,0.6405,0.7563,0.3534,0.91
