Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Full_data_raw without SVMSMOTE,LightGBM,0,0.1093,0.0172,0.7416,0.6695,0.7275,0.7548,0.5909,1836,531,254,417,0.7757,0.6215,0.8785,0.4399
Full_data_raw without SVMSMOTE,LightGBM,1,,,,,,,,417,254,531,1836,0.6215,0.7757,0.4399,0.8785
Full_data_raw without SVMSMOTE,XGBoost,0,0.1068,0.0117,0.7436,0.6681,0.7276,0.7524,0.5872,1854,543,236,405,0.7735,0.6318,0.8871,0.4272
Full_data_raw without SVMSMOTE,XGBoost,1,,,,,,,,405,236,543,1854,0.6318,0.7735,0.4272,0.8871
Full_data_raw without SVMSMOTE,GradientBoosting_80,0,2.6899,0.0122,0.7265,0.5918,0.6799,0.7419,0.5677,1976,717,114,231,0.7338,0.6696,0.9455,0.2437
Full_data_raw without SVMSMOTE,GradientBoosting_80,1,,,,,,,,231,114,717,1976,0.6696,0.7338,0.2437,0.9455
Full_data_raw without SVMSMOTE,RandomForest,0,3.1032,0.0886,0.739,0.6376,0.7096,0.7452,0.5709,1926,629,164,319,0.7538,0.6605,0.9215,0.3365
Full_data_raw without SVMSMOTE,RandomForest,1,,,,,,,,319,164,629,1926,0.6605,0.7538,0.3365,0.9215
Full_data_raw without SVMSMOTE,GradientBoosting_100,0,3.4227,0.0145,0.7317,0.6113,0.6926,0.7449,0.5731,1957,682,133,266,0.7416,0.6667,0.9364,0.2806
Full_data_raw without SVMSMOTE,GradientBoosting_100,1,,,,,,,,266,133,682,1957,0.6667,0.7416,0.2806,0.9364
Full_data_raw without SVMSMOTE,Naive Bayes,0,0.0167,0.0065,0.654,0.6136,0.6606,0.6658,0.431,1485,446,605,502,0.769,0.4535,0.7105,0.5295
Full_data_raw without SVMSMOTE,Naive Bayes,1,,,,,,,,502,605,446,1485,0.4535,0.769,0.5295,0.7105
Full_data_raw without SVMSMOTE,LogisticRegression,0,0.0375,0.0058,0.7189,0.5903,0.6766,0.7283,0.5345,1943,707,147,241,0.7332,0.6211,0.9297,0.2542
Full_data_raw without SVMSMOTE,LogisticRegression,1,,,,,,,,241,147,707,1943,0.6211,0.7332,0.2542,0.9297
Full_data_raw without SVMSMOTE,ElasticNetLR,0,0.7872,0.0062,0.7182,0.5893,0.6758,0.7284,0.5346,1942,708,148,240,0.7328,0.6186,0.9292,0.2532
Full_data_raw without SVMSMOTE,ElasticNetLR,1,,,,,,,,240,148,708,1942,0.6186,0.7328,0.2532,0.9292
Full_data_raw without SVMSMOTE,Stacking,0,14.9817,0.3833,0.739,0.6457,0.714,0.7533,0.5886,1902,605,188,343,0.7587,0.646,0.91,0.3618
Full_data_raw without SVMSMOTE,Stacking,1,,,,,,,,343,188,605,1902,0.646,0.7587,0.3618,0.91
