Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Full_data_raw without SVMSMOTE,LightGBM,0,58.0273,0.006,0.7232,0.6671,0.7185,0.7473,0.5681,1722,473,368,475,0.7845,0.5635,0.8239,0.5011
Full_data_raw without SVMSMOTE,LightGBM,1,,,,,,,,475,368,473,1722,0.5635,0.7845,0.5011,0.8239
Full_data_raw without SVMSMOTE,XGBoost,0,41.1881,0.0042,0.7222,0.664,0.7166,0.7415,0.5576,1729,483,361,465,0.7816,0.563,0.8273,0.4905
Full_data_raw without SVMSMOTE,XGBoost,1,,,,,,,,465,361,483,1729,0.563,0.7816,0.4905,0.8273
Full_data_raw without SVMSMOTE,GradientBoosting_80,0,68.1974,0.0074,0.687,0.6478,0.692,0.725,0.5434,1550,411,540,537,0.7904,0.4986,0.7416,0.5665
Full_data_raw without SVMSMOTE,GradientBoosting_80,1,,,,,,,,537,540,411,1550,0.4986,0.7904,0.5665,0.7416
Full_data_raw without SVMSMOTE,RandomForest,0,103.5473,0.0914,0.7159,0.6533,0.7087,0.728,0.5367,1733,506,357,442,0.774,0.5532,0.8292,0.4662
Full_data_raw without SVMSMOTE,RandomForest,1,,,,,,,,442,357,506,1733,0.5532,0.774,0.4662,0.8292
Full_data_raw without SVMSMOTE,GradientBoosting_100,0,55.0108,0.0089,0.6955,0.6555,0.6997,0.7306,0.5498,1574,409,516,539,0.7937,0.5109,0.7531,0.5686
Full_data_raw without SVMSMOTE,GradientBoosting_100,1,,,,,,,,539,516,409,1574,0.5109,0.7937,0.5686,0.7531
Full_data_raw without SVMSMOTE,Naive Bayes,0,62.7717,0.0039,0.6415,0.577,0.6391,0.6161,0.3992,1568,567,522,381,0.7344,0.4219,0.7502,0.4019
Full_data_raw without SVMSMOTE,Naive Bayes,1,,,,,,,,381,522,567,1568,0.4219,0.7344,0.4019,0.7502
Full_data_raw without SVMSMOTE,LogisticRegression,0,42.5169,0.0015,0.6037,0.5858,0.6182,0.6615,0.4632,1233,347,857,601,0.7804,0.4122,0.59,0.634
Full_data_raw without SVMSMOTE,LogisticRegression,1,,,,,,,,601,857,347,1233,0.4122,0.7804,0.634,0.59
Full_data_raw without SVMSMOTE,ElasticNetLR,0,47.017,0.0022,0.6175,0.5892,0.6297,0.6527,0.4499,1337,409,753,539,0.7658,0.4172,0.6397,0.5686
Full_data_raw without SVMSMOTE,ElasticNetLR,1,,,,,,,,539,753,409,1337,0.4172,0.7658,0.5686,0.6397
Full_data_raw without SVMSMOTE,Stacking,0,67.0765,0.1686,0.713,0.6659,0.7131,0.737,0.5556,1653,435,437,513,0.7917,0.54,0.7909,0.5411
Full_data_raw without SVMSMOTE,Stacking,1,,,,,,,,513,437,435,1653,0.54,0.7917,0.5411,0.7909
