Data versioning,Model,Label,Training time,Test time,ACC,ACC balanced,MCC,CohenKappa,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Scale hba1c in test - smote+preprocess,LightGBM,0,5.7748,0.0149,0.71,0.6892,0.3625,0.3591,0.6782,0.7162,0.7486,0.5833,1556,347,534,601,0.8177,0.5295,0.7445,0.634
Scale hba1c in test - smote+preprocess,LightGBM,1,,,,,,,,,,,601,534,347,1556,0.5295,0.8177,0.634,0.7445
Scale hba1c in test - smote+preprocess,XGBoost,0,7.5979,0.0146,0.7021,0.6867,0.3548,0.3498,0.6728,0.7096,0.7473,0.5766,1521,336,569,612,0.8191,0.5182,0.7278,0.6456
Scale hba1c in test - smote+preprocess,XGBoost,1,,,,,,,,,,,612,569,336,1521,0.5182,0.8191,0.6456,0.7278
Scale hba1c in test - smote+preprocess,GradientBoosting_80,0,20.2965,0.0123,0.6748,0.6783,0.3327,0.3201,0.6539,0.6859,0.7392,0.5611,1398,296,692,652,0.8253,0.4851,0.6689,0.6878
Scale hba1c in test - smote+preprocess,GradientBoosting_80,1,,,,,,,,,,,652,692,296,1398,0.4851,0.8253,0.6878,0.6689
Scale hba1c in test - smote+preprocess,RandomForest,0,17.9927,0.1474,0.7149,0.6605,0.3262,0.326,0.6629,0.7127,0.7392,0.5584,1683,459,407,489,0.7857,0.5458,0.8053,0.5158
Scale hba1c in test - smote+preprocess,RandomForest,1,,,,,,,,,,,489,407,459,1683,0.5458,0.7857,0.5158,0.8053
Scale hba1c in test - smote+preprocess,Naive Bayes,0,20.2218,0.0136,0.6024,0.6352,0.2513,0.226,0.593,0.6162,0.6775,0.4626,1145,263,945,685,0.8132,0.4202,0.5478,0.7226
Scale hba1c in test - smote+preprocess,Naive Bayes,1,,,,,,,,,,,685,945,263,1145,0.4202,0.8132,0.7226,0.5478
Scale hba1c in test - smote+preprocess,LogisticRegression,0,20.587,0.0112,0.656,0.6705,0.3163,0.2985,0.6396,0.6685,0.7306,0.5409,1321,276,769,672,0.8272,0.4663,0.6321,0.7089
Scale hba1c in test - smote+preprocess,LogisticRegression,1,,,,,,,,,,,672,769,276,1321,0.4663,0.8272,0.7089,0.6321
Scale hba1c in test - smote+preprocess,ElasticNetLR,0,16.6039,0.0064,0.6564,0.6707,0.3168,0.299,0.6399,0.6688,0.7306,0.5407,1322,276,768,672,0.8273,0.4667,0.6325,0.7089
Scale hba1c in test - smote+preprocess,ElasticNetLR,1,,,,,,,,,,,672,768,276,1322,0.4667,0.8273,0.7089,0.6325
Scale hba1c in test - smote+preprocess,SVM,0,209.2542,4.7883,0.6777,0.6828,0.3409,0.3275,0.6575,0.6888,0.7449,0.5706,1399,288,691,660,0.8293,0.4885,0.6694,0.6962
Scale hba1c in test - smote+preprocess,SVM,1,,,,,,,,,,,660,691,288,1399,0.4885,0.8293,0.6962,0.6694
Scale hba1c in test - smote+preprocess,Stacking,0,29.0287,0.155,0.7202,0.6868,0.3652,0.3645,0.6819,0.7234,0.7444,0.5806,1621,381,469,567,0.8097,0.5473,0.7756,0.5981
Scale hba1c in test - smote+preprocess,Stacking,1,,,,,,,,,,,567,469,381,1621,0.5473,0.8097,0.5981,0.7756
Scale hba1c in test - nosmote+preprocess,LightGBM,0,0.0961,0.011,0.7383,0.6585,0.35,0.3422,0.6681,0.7255,0.7506,0.5799,1820,525,270,423,0.7761,0.6104,0.8708,0.4462
Scale hba1c in test - nosmote+preprocess,LightGBM,1,,,,,,,,,,,423,270,525,1820,0.6104,0.7761,0.4462,0.8708
Scale hba1c in test - nosmote+preprocess,XGBoost,0,0.0839,0.0093,0.735,0.6498,0.3368,0.3268,0.6595,0.7198,0.7456,0.5672,1832,547,258,401,0.7701,0.6085,0.8766,0.423
Scale hba1c in test - nosmote+preprocess,XGBoost,1,,,,,,,,,,,401,258,547,1832,0.6085,0.7701,0.423,0.8766
Scale hba1c in test - nosmote+preprocess,GradientBoosting_80,0,2.2737,0.0127,0.7288,0.5997,0.2852,0.2399,0.5991,0.6848,0.7426,0.5684,1971,705,119,243,0.7365,0.6713,0.9431,0.2563
Scale hba1c in test - nosmote+preprocess,GradientBoosting_80,1,,,,,,,,,,,243,119,705,1971,0.6713,0.7365,0.2563,0.9431
Scale hba1c in test - nosmote+preprocess,RandomForest,0,2.6065,0.0782,0.736,0.6257,0.3183,0.2902,0.6336,0.7064,0.7407,0.5668,1921,633,169,315,0.7522,0.6508,0.9191,0.3323
Scale hba1c in test - nosmote+preprocess,RandomForest,1,,,,,,,,,,,315,169,633,1921,0.6508,0.7522,0.3323,0.9191
Scale hba1c in test - nosmote+preprocess,Naive Bayes,0,0.015,0.0067,0.6017,0.6172,0.2171,0.2016,0.5866,0.6163,0.6587,0.4319,1204,324,886,624,0.788,0.4132,0.5761,0.6582
Scale hba1c in test - nosmote+preprocess,Naive Bayes,1,,,,,,,,,,,624,886,324,1204,0.4132,0.788,0.6582,0.5761
Scale hba1c in test - nosmote+preprocess,LogisticRegression,0,0.0321,0.0056,0.7169,0.5957,0.2544,0.225,0.5964,0.6793,0.7265,0.535,1919,689,171,259,0.7358,0.6023,0.9182,0.2732
Scale hba1c in test - nosmote+preprocess,LogisticRegression,1,,,,,,,,,,,259,171,689,1919,0.6023,0.7358,0.2732,0.9182
Scale hba1c in test - nosmote+preprocess,ElasticNetLR,0,0.7461,0.0061,0.7172,0.5959,0.2553,0.2256,0.5967,0.6796,0.7266,0.5349,1920,689,170,259,0.7359,0.6037,0.9187,0.2732
Scale hba1c in test - nosmote+preprocess,ElasticNetLR,1,,,,,,,,,,,259,170,689,1920,0.6037,0.7359,0.2732,0.9187
Scale hba1c in test - nosmote+preprocess,SVM,0,46.6164,3.6329,0.6287,0.6719,0.3203,0.2845,0.6215,0.6411,0.7399,0.5436,1164,202,926,746,0.8521,0.4462,0.5569,0.7869
Scale hba1c in test - nosmote+preprocess,SVM,1,,,,,,,,,,,746,926,202,1164,0.4462,0.8521,0.7869,0.5569
Scale hba1c in test - nosmote+preprocess,Stacking,0,11.3368,0.177,0.734,0.6355,0.3221,0.3044,0.6449,0.7118,0.7481,0.5797,1876,594,214,354,0.7595,0.6232,0.8976,0.3734
Scale hba1c in test - nosmote+preprocess,Stacking,1,,,,,,,,,,,354,214,594,1876,0.6232,0.7595,0.3734,0.8976
Scale hba1c in test - smote+nopreprocess,LightGBM,0,35.6707,0.0066,0.733,0.6717,0.3574,0.3558,0.6773,0.7277,0.7473,0.5629,1745,466,345,482,0.7892,0.5828,0.8349,0.5084
Scale hba1c in test - smote+nopreprocess,LightGBM,1,,,,,,,,,,,482,345,466,1745,0.5828,0.7892,0.5084,0.8349
Scale hba1c in test - smote+nopreprocess,XGBoost,0,36.2823,0.0039,0.7321,0.675,0.3602,0.3593,0.6793,0.7282,0.7466,0.5648,1728,452,362,496,0.7927,0.5781,0.8268,0.5232
Scale hba1c in test - smote+nopreprocess,XGBoost,1,,,,,,,,,,,496,362,452,1728,0.5781,0.7927,0.5232,0.8268
Scale hba1c in test - smote+nopreprocess,GradientBoosting_80,0,42.1026,0.0075,0.6988,0.6621,0.3167,0.316,0.6577,0.7023,0.726,0.5404,1588,413,502,535,0.7936,0.5159,0.7598,0.5643
Scale hba1c in test - smote+nopreprocess,GradientBoosting_80,1,,,,,,,,,,,535,502,413,1588,0.5159,0.7936,0.5643,0.7598
Scale hba1c in test - smote+nopreprocess,RandomForest,0,41.9666,0.0879,0.7172,0.6455,0.3096,0.3065,0.6518,0.7086,0.7272,0.5438,1748,517,342,431,0.7717,0.5576,0.8364,0.4546
Scale hba1c in test - smote+nopreprocess,RandomForest,1,,,,,,,,,,,431,342,517,1748,0.5576,0.7717,0.4546,0.8364
