Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Scale hba1c in test,LightGBM,0,7.6884,0.0183,0.71,0.6782,0.7162,0.7486,0.5833,1556,347,534,601,0.8177,0.5295,0.7445,0.634
Scale hba1c in test,LightGBM,1,,,,,,,,601,534,347,1556,0.5295,0.8177,0.634,0.7445
Scale hba1c in test,XGBoost,0,17.8464,0.0146,0.7021,0.6728,0.7096,0.7473,0.5766,1521,336,569,612,0.8191,0.5182,0.7278,0.6456
Scale hba1c in test,XGBoost,1,,,,,,,,612,569,336,1521,0.5182,0.8191,0.6456,0.7278
Scale hba1c in test,GradientBoosting_80,0,29.0479,0.0252,0.6748,0.6539,0.6859,0.7392,0.5611,1398,296,692,652,0.8253,0.4851,0.6689,0.6878
Scale hba1c in test,GradientBoosting_80,1,,,,,,,,652,692,296,1398,0.4851,0.8253,0.6878,0.6689
Scale hba1c in test,RandomForest,0,25.4347,0.0832,0.7149,0.6629,0.7127,0.7392,0.5584,1683,459,407,489,0.7857,0.5458,0.8053,0.5158
Scale hba1c in test,RandomForest,1,,,,,,,,489,407,459,1683,0.5458,0.7857,0.5158,0.8053
Scale hba1c in test,GradientBoosting_100,0,13.1032,0.0138,0.6777,0.6564,0.6886,0.7425,0.5665,1408,297,682,651,0.8258,0.4884,0.6737,0.6867
Scale hba1c in test,GradientBoosting_100,1,,,,,,,,651,682,297,1408,0.4884,0.8258,0.6867,0.6737
Scale hba1c in test,Naive Bayes,0,17.9419,0.0131,0.6024,0.593,0.6162,0.6775,0.4626,1145,263,945,685,0.8132,0.4202,0.5478,0.7226
Scale hba1c in test,Naive Bayes,1,,,,,,,,685,945,263,1145,0.4202,0.8132,0.7226,0.5478
Scale hba1c in test,LogisticRegression,0,17.613,0.0134,0.656,0.6396,0.6685,0.7306,0.5409,1321,276,769,672,0.8272,0.4663,0.6321,0.7089
Scale hba1c in test,LogisticRegression,1,,,,,,,,672,769,276,1321,0.4663,0.8272,0.7089,0.6321
Scale hba1c in test,ElasticNetLR,0,7.3953,0.0065,0.6564,0.6399,0.6688,0.7306,0.5407,1322,276,768,672,0.8273,0.4667,0.6325,0.7089
Scale hba1c in test,ElasticNetLR,1,,,,,,,,672,768,276,1322,0.4667,0.8273,0.7089,0.6325
Scale hba1c in test,Stacking,0,30.111,0.1752,0.7202,0.6819,0.7234,0.7444,0.5806,1621,381,469,567,0.8097,0.5473,0.7756,0.5981
Scale hba1c in test,Stacking,1,,,,,,,,567,469,381,1621,0.5473,0.8097,0.5981,0.7756
