Data versioning,Model,Label,Training time,Test time,ACC,ACC balanced,MCC,CohenKappa,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Scale hba1c in test - smote+preprocess,LightGBM,0,8.3098,0.017,0.7084,0.6926,0.3667,0.3619,0.6791,0.7155,0.7513,0.5803,1535,331,555,617,0.8226,0.5265,0.7344,0.6508
Scale hba1c in test - smote+preprocess,LightGBM,1,,,,,,,,,,,617,555,331,1535,0.5265,0.8226,0.6508,0.7344
Scale hba1c in test - smote+preprocess,XGBoost,0,6.9406,0.009,0.6965,0.6861,0.3516,0.3449,0.6695,0.705,0.7514,0.5845,1492,324,598,624,0.8216,0.5106,0.7139,0.6582
Scale hba1c in test - smote+preprocess,XGBoost,1,,,,,,,,,,,624,598,324,1492,0.5106,0.8216,0.6582,0.7139
Scale hba1c in test - smote+preprocess,GradientBoosting_80,0,24.0252,0.0292,0.6718,0.6779,0.3314,0.3176,0.652,0.6832,0.7397,0.5621,1383,290,707,658,0.8267,0.4821,0.6617,0.6941
Scale hba1c in test - smote+preprocess,GradientBoosting_80,1,,,,,,,,,,,658,707,290,1383,0.4821,0.8267,0.6941,0.6617
Scale hba1c in test - smote+preprocess,RandomForest,0,40.1558,0.2129,0.7182,0.6693,0.3403,0.3403,0.6701,0.7175,0.7399,0.5672,1671,437,419,511,0.7927,0.5495,0.7995,0.539
Scale hba1c in test - smote+preprocess,RandomForest,1,,,,,,,,,,,511,419,437,1671,0.5495,0.7927,0.539,0.7995
Scale hba1c in test - smote+preprocess,Naive Bayes,0,25.9089,0.0126,0.6356,0.6435,0.2666,0.2527,0.6169,0.6487,0.6829,0.4586,1301,318,789,630,0.8036,0.444,0.6225,0.6646
Scale hba1c in test - smote+preprocess,Naive Bayes,1,,,,,,,,,,,630,789,318,1301,0.444,0.8036,0.6646,0.6225
Scale hba1c in test - smote+preprocess,LogisticRegression,0,26.6924,0.0115,0.658,0.6713,0.318,0.3008,0.6411,0.6704,0.7288,0.5346,1329,278,761,670,0.827,0.4682,0.6359,0.7068
Scale hba1c in test - smote+preprocess,LogisticRegression,1,,,,,,,,,,,670,761,278,1329,0.4682,0.827,0.7068,0.6359
Scale hba1c in test - smote+preprocess,ElasticNetLR,0,29.4302,0.0149,0.659,0.6723,0.3199,0.3026,0.6421,0.6713,0.7286,0.5345,1331,277,759,671,0.8277,0.4692,0.6368,0.7078
Scale hba1c in test - smote+preprocess,ElasticNetLR,1,,,,,,,,,,,671,759,277,1331,0.4692,0.8277,0.7078,0.6368
Scale hba1c in test - smote+preprocess,SVM,0,150.0742,15.7835,0.6801,0.6848,0.3446,0.3315,0.6596,0.691,0.7522,0.5828,1405,287,685,661,0.8304,0.4911,0.6722,0.6973
Scale hba1c in test - smote+preprocess,SVM,1,,,,,,,,,,,661,685,287,1405,0.4911,0.8304,0.6973,0.6722
Scale hba1c in test - smote+preprocess,Stacking,0,50.9466,0.1715,0.7186,0.694,0.3742,0.3718,0.6851,0.7237,0.7479,0.5815,1587,352,503,596,0.8185,0.5423,0.7593,0.6287
Scale hba1c in test - smote+preprocess,Stacking,1,,,,,,,,,,,596,503,352,1587,0.5423,0.8185,0.6287,0.7593
Scale hba1c in test - nosmote+preprocess,LightGBM,0,0.1043,0.0128,0.7416,0.6592,0.3556,0.346,0.6695,0.7275,0.7548,0.5909,1836,531,254,417,0.7757,0.6215,0.8785,0.4399
Scale hba1c in test - nosmote+preprocess,LightGBM,1,,,,,,,,,,,417,254,531,1836,0.6215,0.7757,0.4399,0.8785
Scale hba1c in test - nosmote+preprocess,XGBoost,0,0.0989,0.01,0.7436,0.6571,0.3569,0.3448,0.6681,0.7276,0.7524,0.5872,1854,543,236,405,0.7735,0.6318,0.8871,0.4272
Scale hba1c in test - nosmote+preprocess,XGBoost,1,,,,,,,,,,,405,236,543,1854,0.6318,0.7735,0.4272,0.8871
Scale hba1c in test - nosmote+preprocess,GradientBoosting_80,0,2.6808,0.0123,0.7265,0.5946,0.2762,0.2289,0.5918,0.6799,0.7419,0.5677,1976,717,114,231,0.7338,0.6696,0.9455,0.2437
Scale hba1c in test - nosmote+preprocess,GradientBoosting_80,1,,,,,,,,,,,231,114,717,1976,0.6696,0.7338,0.2437,0.9455
Scale hba1c in test - nosmote+preprocess,RandomForest,0,3.1309,0.0929,0.7393,0.6295,0.328,0.2991,0.6382,0.7101,0.7452,0.571,1926,628,164,320,0.7541,0.6612,0.9215,0.3376
Scale hba1c in test - nosmote+preprocess,RandomForest,1,,,,,,,,,,,320,164,628,1926,0.6612,0.7541,0.3376,0.9215
Scale hba1c in test - nosmote+preprocess,Naive Bayes,0,0.0182,0.0072,0.654,0.62,0.2311,0.2295,0.6136,0.6606,0.6658,0.431,1485,446,605,502,0.769,0.4535,0.7105,0.5295
Scale hba1c in test - nosmote+preprocess,Naive Bayes,1,,,,,,,,,,,502,605,446,1485,0.4535,0.769,0.5295,0.7105
Scale hba1c in test - nosmote+preprocess,LogisticRegression,0,0.072,0.0061,0.7189,0.5919,0.2553,0.2193,0.5903,0.6766,0.7282,0.5344,1943,707,147,241,0.7332,0.6211,0.9297,0.2542
Scale hba1c in test - nosmote+preprocess,LogisticRegression,1,,,,,,,,,,,241,147,707,1943,0.6211,0.7332,0.2542,0.9297
Scale hba1c in test - nosmote+preprocess,ElasticNetLR,0,0.581,0.0063,0.7182,0.5912,0.2531,0.2174,0.5893,0.6758,0.7284,0.5346,1942,708,148,240,0.7328,0.6186,0.9292,0.2532
