Data versioning,Model,Label,Training time,Test time,ACC,ACC balanced,MCC,CohenKappa,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Scale hba1c in test - smote+preprocess,LightGBM,0,5.8421,0.0208,0.6114,0.6641,0.3072,0.2654,0.6063,0.6232,0.7464,0.5736,1677,283,1516,1153,0.8556,0.432,0.5252,0.8029
Scale hba1c in test - smote+preprocess,LightGBM,1,,,,,,,,,,,1153,1516,283,1677,0.432,0.8556,0.8029,0.5252
Scale hba1c in test - smote+preprocess,XGBoost,0,5.852,0.0114,0.6554,0.6765,0.3266,0.3048,0.6409,0.6683,0.7435,0.569,1983,385,1210,1051,0.8374,0.4648,0.621,0.7319
Scale hba1c in test - smote+preprocess,XGBoost,1,,,,,,,,,,,1051,1210,385,1983,0.4648,0.8374,0.7319,0.621
Scale hba1c in test - smote+preprocess,GradientBoosting_80,0,10.4345,0.0177,0.6522,0.6665,0.3084,0.2906,0.6353,0.6651,0.7337,0.5517,2008,425,1185,1011,0.8253,0.4604,0.6289,0.704
Scale hba1c in test - smote+preprocess,GradientBoosting_80,1,,,,,,,,,,,1011,1185,425,2008,0.4604,0.8253,0.704,0.6289
Scale hba1c in test - smote+preprocess,RandomForest,0,20.8419,0.3362,0.6913,0.6814,0.3418,0.3346,0.6641,0.7004,0.7468,0.568,2259,495,934,941,0.8203,0.5019,0.7075,0.6553
Scale hba1c in test - smote+preprocess,RandomForest,1,,,,,,,,,,,941,934,495,2259,0.5019,0.8203,0.6553,0.7075
Scale hba1c in test - smote+preprocess,Naive Bayes,0,9.1983,0.0109,0.3113,0.5004,0.0084,0.0005,0.239,0.1499,0.6501,0.4311,7,2,3186,1434,0.7778,0.3104,0.0022,0.9986
Scale hba1c in test - smote+preprocess,Naive Bayes,1,,,,,,,,,,,1434,3186,2,7,0.3104,0.7778,0.9986,0.0022
Scale hba1c in test - smote+preprocess,LogisticRegression,0,17.4026,0.0141,0.7012,0.6731,0.3336,0.3315,0.6648,0.7067,0.7408,0.5502,2386,576,807,860,0.8055,0.5159,0.7473,0.5989
Scale hba1c in test - smote+preprocess,LogisticRegression,1,,,,,,,,,,,860,807,576,2386,0.5159,0.8055,0.5989,0.7473
Scale hba1c in test - smote+preprocess,ElasticNetLR,0,23.8014,0.0288,0.7008,0.6728,0.3329,0.3308,0.6644,0.7064,0.7409,0.5503,2384,576,809,860,0.8054,0.5153,0.7466,0.5989
Scale hba1c in test - smote+preprocess,ElasticNetLR,1,,,,,,,,,,,860,809,576,2384,0.5153,0.8054,0.5989,0.7466
