Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Full_data_process without SVMSMOTE,LightGBM,0,0.0924,0.0174,0.7259,0.6358,0.7045,0.7395,0.5515,2832,908,361,529,0.7572,0.5944,0.8869,0.3681
Full_data_process without SVMSMOTE,LightGBM,1,,,,,,,,529,361,908,2832,0.5944,0.7572,0.3681,0.8869
Full_data_process without SVMSMOTE,XGBoost,0,0.09,0.0107,0.7307,0.6388,0.7079,0.741,0.5507,2859,913,334,524,0.758,0.6107,0.8954,0.3646
Full_data_process without SVMSMOTE,XGBoost,1,,,,,,,,524,334,913,2859,0.6107,0.758,0.3646,0.8954
Full_data_process without SVMSMOTE,GradientBoosting_80,0,1.9116,0.0185,0.7212,0.5663,0.6646,0.7381,0.5527,3053,1151,140,286,0.7262,0.6714,0.9562,0.199
Full_data_process without SVMSMOTE,GradientBoosting_80,1,,,,,,,,286,140,1151,3053,0.6714,0.7262,0.199,0.9562
Full_data_process without SVMSMOTE,RandomForest,0,2.1882,0.1067,0.7205,0.5921,0.6789,0.727,0.5406,2967,1068,226,369,0.7353,0.6202,0.9292,0.2568
Full_data_process without SVMSMOTE,RandomForest,1,,,,,,,,369,226,1068,2967,0.6202,0.7353,0.2568,0.9292
Full_data_process without SVMSMOTE,GradientBoosting_100,0,2.464,0.0209,0.7261,0.5863,0.6775,0.7405,0.5562,3027,1102,166,335,0.7331,0.6687,0.948,0.2331
Full_data_process without SVMSMOTE,GradientBoosting_100,1,,,,,,,,335,166,1102,3027,0.6687,0.7331,0.2331,0.948
Full_data_process without SVMSMOTE,Naive Bayes,0,0.0154,0.0088,0.611,0.5966,0.6255,0.6751,0.4573,1852,460,1341,977,0.801,0.4215,0.58,0.6799
Full_data_process without SVMSMOTE,Naive Bayes,1,,,,,,,,977,1341,460,1852,0.4215,0.801,0.6799,0.58
Full_data_process without SVMSMOTE,LogisticRegression,0,0.0274,0.0066,0.7151,0.5975,0.68,0.7266,0.5228,2907,1033,286,404,0.7378,0.5855,0.9104,0.2811
Full_data_process without SVMSMOTE,LogisticRegression,1,,,,,,,,404,286,1033,2907,0.5855,0.7378,0.2811,0.9104
Full_data_process without SVMSMOTE,ElasticNetLR,0,0.0556,0.0073,0.7153,0.5979,0.6803,0.7267,0.523,2907,1032,286,405,0.738,0.5861,0.9104,0.2818
Full_data_process without SVMSMOTE,ElasticNetLR,1,,,,,,,,405,286,1032,2907,0.5861,0.738,0.2818,0.9104
Full_data_process without SVMSMOTE,SVM,0,116.3763,4.7729,0.6216,0.6127,0.635,0.7216,0.5161,1789,348,1404,1089,0.8372,0.4368,0.5603,0.7578
Full_data_process without SVMSMOTE,SVM,1,,,,,,,,1089,1404,348,1789,0.4368,0.8372,0.7578,0.5603
Full_data_process without SVMSMOTE,Stacking,0,10.6148,0.2528,0.7294,0.6146,0.6943,0.7409,0.5565,2952,1012,241,425,0.7447,0.6381,0.9245,0.2958
Full_data_process without SVMSMOTE,Stacking,1,,,,,,,,425,241,1012,2952,0.6381,0.7447,0.2958,0.9245
