Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Full_data_process + SVMSMOTE,LightGBM,0,3.8448,0.0161,0.7132,0.67,0.7153,0.7438,0.5629,2488,623,705,814,0.7997,0.5359,0.7792,0.5665
Full_data_process + SVMSMOTE,LightGBM,1,,,,,,,,814,705,623,2488,0.5359,0.7997,0.5665,0.7792
Full_data_process + SVMSMOTE,XGBoost,0,3.8322,0.0104,0.6996,0.6638,0.7054,0.7419,0.556,2375,573,818,864,0.8056,0.5137,0.7438,0.6013
Full_data_process + SVMSMOTE,XGBoost,1,,,,,,,,864,818,573,2375,0.5137,0.8056,0.6013,0.7438
Full_data_process + SVMSMOTE,GradientBoosting_80,0,19.3892,0.0358,0.6862,0.6595,0.6956,0.7378,0.552,2237,497,956,940,0.8182,0.4958,0.7006,0.6541
Full_data_process + SVMSMOTE,GradientBoosting_80,1,,,,,,,,940,956,497,2237,0.4958,0.8182,0.6541,0.7006
Full_data_process + SVMSMOTE,RandomForest,0,20.3944,0.239,0.7199,0.6568,0.7126,0.7297,0.5401,2659,763,534,674,0.777,0.5579,0.8328,0.469
Full_data_process + SVMSMOTE,RandomForest,1,,,,,,,,674,534,763,2659,0.5579,0.777,0.469,0.8328
Full_data_process + SVMSMOTE,GradientBoosting_100,0,25.0774,0.0396,0.6907,0.6637,0.6999,0.7413,0.5567,2255,494,938,943,0.8203,0.5013,0.7062,0.6562
Full_data_process + SVMSMOTE,GradientBoosting_100,1,,,,,,,,943,938,494,2255,0.5013,0.8203,0.6562,0.7062
Full_data_process + SVMSMOTE,Naive Bayes,0,7.3714,0.0163,0.6274,0.61,0.6413,0.6771,0.4692,1942,474,1251,963,0.8038,0.435,0.6082,0.6701
Full_data_process + SVMSMOTE,Naive Bayes,1,,,,,,,,963,1251,474,1942,0.435,0.8038,0.6701,0.6082
Full_data_process + SVMSMOTE,LogisticRegression,0,3.8835,0.0068,0.6346,0.621,0.6482,0.7232,0.523,1907,406,1286,1031,0.8245,0.445,0.5972,0.7175
Full_data_process + SVMSMOTE,LogisticRegression,1,,,,,,,,1031,1286,406,1907,0.445,0.8245,0.7175,0.5972
Full_data_process + SVMSMOTE,ElasticNetLR,0,3.7581,0.0074,0.6341,0.6205,0.6478,0.7232,0.523,1906,407,1287,1030,0.824,0.4445,0.5969,0.7168
Full_data_process + SVMSMOTE,ElasticNetLR,1,,,,,,,,1030,1287,407,1906,0.4445,0.824,0.7168,0.5969
Full_data_process + SVMSMOTE,SVM,0,121.3147,6.1545,0.6769,0.6465,0.6858,0.7051,0.5292,2246,549,947,888,0.8036,0.4839,0.7034,0.618
Full_data_process + SVMSMOTE,SVM,1,,,,,,,,888,947,549,2246,0.4839,0.8036,0.618,0.7034
Full_data_process + SVMSMOTE,Stacking,0,25.7962,0.2465,0.7233,0.6781,0.7239,0.7393,0.5538,2542,630,651,807,0.8014,0.5535,0.7961,0.5616
Full_data_process + SVMSMOTE,Stacking,1,,,,,,,,807,651,630,2542,0.5535,0.8014,0.5616,0.7961
