Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Full_data_process without SVMSMOTE,LightGBM,0,20.6043,0.0088,0.7231,0.6479,0.7096,0.7392,0.542,2744,833,449,604,0.7671,0.5736,0.8594,0.4203
Full_data_process without SVMSMOTE,LightGBM,1,,,,,,,,604,449,833,2744,0.5736,0.7671,0.4203,0.8594
Full_data_process without SVMSMOTE,XGBoost,0,21.1278,0.0041,0.7233,0.6553,0.7134,0.7364,0.5397,2703,791,490,646,0.7736,0.5687,0.8465,0.4495
Full_data_process without SVMSMOTE,XGBoost,1,,,,,,,,646,490,791,2703,0.5687,0.7736,0.4495,0.8465
Full_data_process without SVMSMOTE,GradientBoosting_80,0,35.0925,0.019,0.6996,0.6494,0.6997,0.7265,0.5319,2495,693,698,744,0.7826,0.516,0.7814,0.5177
Full_data_process without SVMSMOTE,GradientBoosting_80,1,,,,,,,,744,698,693,2495,0.516,0.7826,0.5177,0.7814
Full_data_process without SVMSMOTE,RandomForest,0,34.1729,0.1076,0.7201,0.6388,0.7038,0.7193,0.5262,2765,868,428,569,0.7611,0.5707,0.866,0.396
Full_data_process without SVMSMOTE,RandomForest,1,,,,,,,,569,428,868,2765,0.5707,0.7611,0.396,0.866
Full_data_process without SVMSMOTE,GradientBoosting_100,0,26.1735,0.0131,0.7063,0.6546,0.7053,0.7311,0.5386,2530,697,663,740,0.784,0.5274,0.7924,0.515
Full_data_process without SVMSMOTE,GradientBoosting_100,1,,,,,,,,740,663,697,2530,0.5274,0.784,0.515,0.7924
Full_data_process without SVMSMOTE,Naive Bayes,0,43.6886,0.0063,0.5978,0.5735,0.6121,0.6057,0.418,1937,606,1256,831,0.7617,0.3982,0.6066,0.5783
Full_data_process without SVMSMOTE,Naive Bayes,1,,,,,,,,831,1256,606,1937,0.3982,0.7617,0.5783,0.6066
Full_data_process without SVMSMOTE,LogisticRegression,0,20.8971,0.0024,0.5961,0.5766,0.6111,0.6558,0.4614,1877,554,1316,883,0.7721,0.4015,0.5878,0.6145
Full_data_process without SVMSMOTE,LogisticRegression,1,,,,,,,,883,1316,554,1877,0.4015,0.7721,0.6145,0.5878
Full_data_process without SVMSMOTE,ElasticNetLR,0,25.3749,0.0024,0.5978,0.5788,0.6128,0.6554,0.4625,1876,545,1317,892,0.7749,0.4038,0.5875,0.6207
Full_data_process without SVMSMOTE,ElasticNetLR,1,,,,,,,,892,1317,545,1876,0.4038,0.7749,0.6207,0.5875
Full_data_process without SVMSMOTE,SVM,0,319.3245,8.1418,0.6782,0.481,0.6023,0.5625,0.3643,2997,1294,196,143,0.6984,0.4218,0.9386,0.0995
Full_data_process without SVMSMOTE,SVM,1,,,,,,,,143,196,1294,2997,0.4218,0.6984,0.0995,0.9386
Full_data_process without SVMSMOTE,Stacking,0,42.9346,0.2403,0.7108,0.6539,0.7071,0.7333,0.5385,2584,730,609,707,0.7797,0.5372,0.8093,0.492
Full_data_process without SVMSMOTE,Stacking,1,,,,,,,,707,609,730,2584,0.5372,0.7797,0.492,0.8093
