Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Full_data_raw without SVMSMOTE,LightGBM,0,0.1168,0.0071,0.7489,0.6757,0.7397,0.7568,0.6,134,34,21,30,0.7976,0.5882,0.8645,0.4688
Full_data_raw without SVMSMOTE,LightGBM,1,,,,,,,,30,21,34,134,0.5882,0.7976,0.4688,0.8645
Full_data_raw without SVMSMOTE,XGBoost,0,0.1145,0.007,0.7671,0.6959,0.757,0.7463,0.5716,137,33,18,31,0.8059,0.6327,0.8839,0.4844
Full_data_raw without SVMSMOTE,XGBoost,1,,,,,,,,31,18,33,137,0.6327,0.8059,0.4844,0.8839
Full_data_raw without SVMSMOTE,GradientBoosting_80,0,3.5471,0.0053,0.7443,0.6084,0.7043,0.7415,0.5514,146,47,9,17,0.7565,0.6538,0.9419,0.2656
Full_data_raw without SVMSMOTE,GradientBoosting_80,1,,,,,,,,17,9,47,146,0.6538,0.7565,0.2656,0.9419
Full_data_raw without SVMSMOTE,RandomForest,0,4.035,0.0352,0.7671,0.6623,0.7405,0.7506,0.6121,145,41,10,23,0.7796,0.697,0.9355,0.3594
Full_data_raw without SVMSMOTE,RandomForest,1,,,,,,,,23,10,41,145,0.697,0.7796,0.3594,0.9355
Full_data_raw without SVMSMOTE,GradientBoosting_100,0,11.1586,0.0123,0.7397,0.6047,0.7007,0.749,0.5691,145,47,10,17,0.7552,0.6296,0.9355,0.2656
Full_data_raw without SVMSMOTE,GradientBoosting_100,1,,,,,,,,17,10,47,145,0.6296,0.7552,0.2656,0.9355
Full_data_raw without SVMSMOTE,Naive Bayes,0,0.0564,0.0099,0.5845,0.5483,0.6014,0.5838,0.3234,95,31,60,33,0.754,0.3548,0.6129,0.5156
Full_data_raw without SVMSMOTE,Naive Bayes,1,,,,,,,,33,60,31,95,0.3548,0.754,0.5156,0.6129
Full_data_raw without SVMSMOTE,LogisticRegression,0,0.1192,0.0275,0.7443,0.6422,0.7216,0.7076,0.4906,140,41,15,23,0.7735,0.6053,0.9032,0.3594
Full_data_raw without SVMSMOTE,LogisticRegression,1,,,,,,,,23,15,41,140,0.6053,0.7735,0.3594,0.9032
Full_data_raw without SVMSMOTE,ElasticNetLR,0,3.6901,0.0136,0.7443,0.6422,0.7216,0.7073,0.4901,140,41,15,23,0.7735,0.6053,0.9032,0.3594
Full_data_raw without SVMSMOTE,ElasticNetLR,1,,,,,,,,23,15,41,140,0.6053,0.7735,0.3594,0.9032
Full_data_raw without SVMSMOTE,SVM,0,160.1519,0.935,0.5388,0.5385,0.5437,0.7553,0.5721,62,8,93,56,0.8857,0.3758,0.4,0.875
Full_data_raw without SVMSMOTE,SVM,1,,,,,,,,56,93,8,62,0.3758,0.8857,0.875,0.4
Full_data_raw without SVMSMOTE,Stacking,0,17.0254,0.067,0.7626,0.6677,0.7415,0.761,0.5758,142,39,13,25,0.7845,0.6579,0.9161,0.3906
Full_data_raw without SVMSMOTE,Stacking,1,,,,,,,,25,13,39,142,0.6579,0.7845,0.3906,0.9161
