Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Full_data_raw without SVMSMOTE,LightGBM,0,0.1057,0.0028,0.7306,0.6521,0.7208,0.7354,0.5616,132,36,23,28,0.7857,0.549,0.8516,0.4375
Full_data_raw without SVMSMOTE,LightGBM,1,,,,,,,,28,23,36,132,0.549,0.7857,0.4375,0.8516
Full_data_raw without SVMSMOTE,XGBoost,0,0.1059,0.0051,0.7352,0.6479,0.7208,0.7385,0.5482,135,38,20,26,0.7803,0.5652,0.871,0.4062
Full_data_raw without SVMSMOTE,XGBoost,1,,,,,,,,26,20,38,135,0.5652,0.7803,0.4062,0.871
Full_data_raw without SVMSMOTE,GradientBoosting_80,0,3.3795,0.0023,0.7443,0.6147,0.7076,0.7264,0.5321,145,46,10,18,0.7592,0.6429,0.9355,0.2812
Full_data_raw without SVMSMOTE,GradientBoosting_80,1,,,,,,,,18,10,46,145,0.6429,0.7592,0.2812,0.9355
Full_data_raw without SVMSMOTE,RandomForest,0,3.6608,0.0158,0.7352,0.6294,0.7117,0.7236,0.5594,139,42,16,22,0.768,0.5789,0.8968,0.3438
Full_data_raw without SVMSMOTE,RandomForest,1,,,,,,,,22,16,42,139,0.5789,0.768,0.3438,0.8968
Full_data_raw without SVMSMOTE,GradientBoosting_100,0,4.2542,0.002,0.7443,0.6265,0.7136,0.7278,0.5404,143,44,12,20,0.7647,0.625,0.9226,0.3125
Full_data_raw without SVMSMOTE,GradientBoosting_100,1,,,,,,,,20,12,44,143,0.625,0.7647,0.3125,0.9226
Full_data_raw without SVMSMOTE,Naive Bayes,0,0.0065,0.0013,0.6256,0.5294,0.6178,0.5614,0.3122,118,45,37,19,0.7239,0.3393,0.7613,0.2969
Full_data_raw without SVMSMOTE,Naive Bayes,1,,,,,,,,19,37,45,118,0.3393,0.7239,0.2969,0.7613
Full_data_raw without SVMSMOTE,LogisticRegression,0,0.5119,0.0013,0.7215,0.5548,0.668,0.6419,0.4207,146,52,9,12,0.7374,0.5714,0.9419,0.1875
Full_data_raw without SVMSMOTE,LogisticRegression,1,,,,,,,,12,9,52,146,0.5714,0.7374,0.1875,0.9419
Full_data_raw without SVMSMOTE,ElasticNetLR,0,13.9327,0.004,0.7169,0.4729,0.6219,0.5997,0.4068,153,60,2,4,0.7183,0.6667,0.9871,0.0625
Full_data_raw without SVMSMOTE,ElasticNetLR,1,,,,,,,,4,2,60,153,0.6667,0.7183,0.0625,0.9871
Full_data_raw without SVMSMOTE,SVM,0,305.6076,0.4947,0.7078,0.4144,0.5866,0.5869,0.3803,155,64,0,0,0.7078,0.0,1.0,0.0
Full_data_raw without SVMSMOTE,SVM,1,,,,,,,,0,0,64,155,0.0,0.7078,0.0,1.0
Full_data_raw without SVMSMOTE,Stacking,0,23.5265,0.1068,0.7626,0.6677,0.7415,0.7283,0.5495,142,39,13,25,0.7845,0.6579,0.9161,0.3906
Full_data_raw without SVMSMOTE,Stacking,1,,,,,,,,25,13,39,142,0.6579,0.7845,0.3906,0.9161
