Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Full_data_raw without SVMSMOTE,LightGBM,0,0.092,0.0025,0.7352,0.6599,0.7264,0.7327,0.5684,132,35,23,29,0.7904,0.5577,0.8516,0.4531
Full_data_raw without SVMSMOTE,LightGBM,1,,,,,,,,29,23,35,132,0.5577,0.7904,0.4531,0.8516
Full_data_raw without SVMSMOTE,XGBoost,0,0.0841,0.0029,0.7397,0.6676,0.732,0.7355,0.5404,132,34,23,30,0.7952,0.566,0.8516,0.4688
Full_data_raw without SVMSMOTE,XGBoost,1,,,,,,,,30,23,34,132,0.566,0.7952,0.4688,0.8516
Full_data_raw without SVMSMOTE,GradientBoosting_80,0,2.6349,0.0022,0.7534,0.6285,0.718,0.7287,0.5414,146,45,9,19,0.7644,0.6786,0.9419,0.2969
Full_data_raw without SVMSMOTE,GradientBoosting_80,1,,,,,,,,19,9,45,146,0.6786,0.7644,0.2969,0.9419
Full_data_raw without SVMSMOTE,RandomForest,0,3.4418,0.0149,0.7626,0.6631,0.7391,0.7417,0.5722,143,40,12,24,0.7814,0.6667,0.9226,0.375
Full_data_raw without SVMSMOTE,RandomForest,1,,,,,,,,24,12,40,143,0.6667,0.7814,0.375,0.9226
Full_data_raw without SVMSMOTE,GradientBoosting_100,0,3.2028,0.0019,0.7397,0.6169,0.707,0.7306,0.5524,143,45,12,19,0.7606,0.6129,0.9226,0.2969
Full_data_raw without SVMSMOTE,GradientBoosting_100,1,,,,,,,,19,12,45,143,0.6129,0.7606,0.2969,0.9226
Full_data_raw without SVMSMOTE,Naive Bayes,0,0.0063,0.0013,0.6621,0.5708,0.6531,0.5986,0.3711,123,42,32,22,0.7455,0.4074,0.7935,0.3438
Full_data_raw without SVMSMOTE,Naive Bayes,1,,,,,,,,22,32,42,123,0.4074,0.7455,0.3438,0.7935
Full_data_raw without SVMSMOTE,LogisticRegression,0,0.434,0.0012,0.726,0.5499,0.6669,0.6494,0.4303,148,53,7,11,0.7363,0.6111,0.9548,0.1719
Full_data_raw without SVMSMOTE,LogisticRegression,1,,,,,,,,11,7,53,148,0.6111,0.7363,0.1719,0.9548
Full_data_raw without SVMSMOTE,ElasticNetLR,0,3.7453,0.0013,0.7078,0.4429,0.6025,0.6086,0.4085,153,62,2,2,0.7116,0.5,0.9871,0.0312
Full_data_raw without SVMSMOTE,ElasticNetLR,1,,,,,,,,2,2,62,153,0.5,0.7116,0.0312,0.9871
Full_data_raw without SVMSMOTE,Stacking,0,13.4876,0.1001,0.7534,0.6595,0.7338,0.7309,0.5707,140,39,15,25,0.7821,0.625,0.9032,0.3906
Full_data_raw without SVMSMOTE,Stacking,1,,,,,,,,25,15,39,140,0.625,0.7821,0.3906,0.9032
