Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Full_data_raw without SVMSMOTE,LightGBM,0,0.1125,0.0087,0.7397,0.6639,0.7303,0.7658,0.6147,133,35,22,29,0.7917,0.5686,0.8581,0.4531
Full_data_raw without SVMSMOTE,LightGBM,1,,,,,,,,29,22,35,133,0.5686,0.7917,0.4531,0.8581
Full_data_raw without SVMSMOTE,XGBoost,0,0.1068,0.0071,0.7534,0.6798,0.7436,0.7546,0.6028,135,34,20,30,0.7988,0.6,0.871,0.4688
Full_data_raw without SVMSMOTE,XGBoost,1,,,,,,,,30,20,34,135,0.6,0.7988,0.4688,0.871
Full_data_raw without SVMSMOTE,GradientBoosting_80,0,2.7884,0.0061,0.7443,0.6084,0.7043,0.7459,0.5669,146,47,9,17,0.7565,0.6538,0.9419,0.2656
Full_data_raw without SVMSMOTE,GradientBoosting_80,1,,,,,,,,17,9,47,146,0.6538,0.7565,0.2656,0.9419
Full_data_raw without SVMSMOTE,RandomForest,0,3.2158,0.0212,0.7489,0.6509,0.7278,0.7648,0.6075,140,40,15,24,0.7778,0.6154,0.9032,0.375
Full_data_raw without SVMSMOTE,RandomForest,1,,,,,,,,24,15,40,140,0.6154,0.7778,0.375,0.9032
Full_data_raw without SVMSMOTE,GradientBoosting_100,0,6.7511,0.0199,0.7443,0.6147,0.7076,0.7496,0.5735,145,46,10,18,0.7592,0.6429,0.9355,0.2812
Full_data_raw without SVMSMOTE,GradientBoosting_100,1,,,,,,,,18,10,46,145,0.6429,0.7592,0.2812,0.9355
Full_data_raw without SVMSMOTE,Naive Bayes,0,0.0479,0.0106,0.5616,0.5527,0.579,0.6155,0.3919,77,18,78,46,0.8105,0.371,0.4968,0.7188
Full_data_raw without SVMSMOTE,Naive Bayes,1,,,,,,,,46,78,18,77,0.371,0.8105,0.7188,0.4968
Full_data_raw without SVMSMOTE,LogisticRegression,0,0.0963,0.0085,0.7397,0.643,0.7202,0.7101,0.4896,138,40,17,24,0.7753,0.5854,0.8903,0.375
Full_data_raw without SVMSMOTE,LogisticRegression,1,,,,,,,,24,17,40,138,0.5854,0.7753,0.375,0.8903
Full_data_raw without SVMSMOTE,ElasticNetLR,0,2.8172,0.0094,0.7397,0.643,0.7202,0.7101,0.4897,138,40,17,24,0.7753,0.5854,0.8903,0.375
Full_data_raw without SVMSMOTE,ElasticNetLR,1,,,,,,,,24,17,40,138,0.5854,0.7753,0.375,0.8903
Full_data_raw without SVMSMOTE,Stacking,0,22.874,0.1012,0.7671,0.6806,0.7497,0.7626,0.6182,141,37,14,27,0.7921,0.6585,0.9097,0.4219
Full_data_raw without SVMSMOTE,Stacking,1,,,,,,,,27,14,37,141,0.6585,0.7921,0.4219,0.9097
