Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Full_data_raw without SVMSMOTE,LightGBM,0,107.5385,0.0039,0.7397,0.6923,0.7425,0.7609,0.5906,124,26,31,38,0.8267,0.5507,0.8,0.5938
Full_data_raw without SVMSMOTE,LightGBM,1,,,,,,,,38,31,26,124,0.5507,0.8267,0.5938,0.8
Full_data_raw without SVMSMOTE,XGBoost,0,67.6776,0.0038,0.7534,0.7046,0.7545,0.7498,0.5603,127,26,28,38,0.8301,0.5758,0.8194,0.5938
Full_data_raw without SVMSMOTE,XGBoost,1,,,,,,,,38,28,26,127,0.5758,0.8301,0.5938,0.8194
Full_data_raw without SVMSMOTE,GradientBoosting_80,0,78.943,0.002,0.621,0.6065,0.6379,0.7218,0.5231,89,17,66,47,0.8396,0.4159,0.5742,0.7344
Full_data_raw without SVMSMOTE,GradientBoosting_80,1,,,,,,,,47,66,17,89,0.4159,0.8396,0.7344,0.5742
Full_data_raw without SVMSMOTE,RandomForest,0,92.4873,0.0173,0.726,0.6625,0.7234,0.7472,0.5701,127,32,28,32,0.7987,0.5333,0.8194,0.5
Full_data_raw without SVMSMOTE,RandomForest,1,,,,,,,,32,28,32,127,0.5333,0.7987,0.5,0.8194
Full_data_raw without SVMSMOTE,GradientBoosting_100,0,71.5031,0.0075,0.6438,0.6217,0.6597,0.7252,0.531,97,20,58,44,0.8291,0.4314,0.6258,0.6875
Full_data_raw without SVMSMOTE,GradientBoosting_100,1,,,,,,,,44,58,20,97,0.4314,0.8291,0.6875,0.6258
Full_data_raw without SVMSMOTE,Naive Bayes,0,49.0478,0.0025,0.6119,0.5411,0.616,0.5782,0.3586,110,40,45,24,0.7333,0.3478,0.7097,0.375
Full_data_raw without SVMSMOTE,Naive Bayes,1,,,,,,,,24,45,40,110,0.3478,0.7333,0.375,0.7097
Full_data_raw without SVMSMOTE,LogisticRegression,0,76.2427,0.0064,0.5936,0.5652,0.6114,0.6354,0.4228,93,27,62,37,0.775,0.3737,0.6,0.5781
Full_data_raw without SVMSMOTE,LogisticRegression,1,,,,,,,,37,62,27,93,0.3737,0.775,0.5781,0.6
Full_data_raw without SVMSMOTE,ElasticNetLR,0,52.8737,0.0014,0.6849,0.6209,0.6856,0.6057,0.4056,120,34,35,30,0.7792,0.4615,0.7742,0.4688
Full_data_raw without SVMSMOTE,ElasticNetLR,1,,,,,,,,30,35,34,120,0.4615,0.7792,0.4688,0.7742
Full_data_raw without SVMSMOTE,Stacking,0,118.923,0.0647,0.7352,0.7021,0.7433,0.7433,0.577,117,20,38,44,0.854,0.5366,0.7548,0.6875
Full_data_raw without SVMSMOTE,Stacking,1,,,,,,,,44,38,20,117,0.5366,0.854,0.6875,0.7548
