Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Full_data_process without SVMSMOTE,LightGBM,0,49.9268,0.0058,0.7334,0.6778,0.7281,0.7479,0.5634,1745,465,345,483,0.7896,0.5833,0.8349,0.5095
Full_data_process without SVMSMOTE,LightGBM,1,,,,,,,,483,345,465,1745,0.5833,0.7896,0.5095,0.8349
Full_data_process without SVMSMOTE,XGBoost,0,42.5834,0.0034,0.7327,0.6805,0.7291,0.7471,0.5651,1727,449,363,499,0.7937,0.5789,0.8263,0.5264
Full_data_process without SVMSMOTE,XGBoost,1,,,,,,,,499,363,449,1727,0.5789,0.7937,0.5264,0.8263
Full_data_process without SVMSMOTE,GradientBoosting_80,0,55.0565,0.0179,0.6988,0.6577,0.7023,0.726,0.5404,1588,413,502,535,0.7936,0.5159,0.7598,0.5643
Full_data_process without SVMSMOTE,GradientBoosting_80,1,,,,,,,,535,502,413,1588,0.5159,0.7936,0.5643,0.7598
Full_data_process without SVMSMOTE,RandomForest,0,62.86,0.089,0.7179,0.6529,0.7094,0.7284,0.5429,1748,515,342,433,0.7724,0.5587,0.8364,0.4568
Full_data_process without SVMSMOTE,RandomForest,1,,,,,,,,433,342,515,1748,0.5587,0.7724,0.4568,0.8364
Full_data_process without SVMSMOTE,GradientBoosting_100,0,126.4514,0.0081,0.7031,0.6589,0.705,0.7311,0.5476,1615,427,475,521,0.7909,0.5231,0.7727,0.5496
Full_data_process without SVMSMOTE,GradientBoosting_100,1,,,,,,,,521,475,427,1615,0.5231,0.7909,0.5496,0.7727
Full_data_process without SVMSMOTE,Naive Bayes,0,51.5261,0.0027,0.3124,0.2387,0.1497,0.5,0.6557,2,1,2088,947,0.6667,0.312,0.001,0.9989
Full_data_process without SVMSMOTE,Naive Bayes,1,,,,,,,,947,2088,1,2,0.312,0.6667,0.9989,0.001
Full_data_process without SVMSMOTE,LogisticRegression,0,37.1905,0.0015,0.688,0.4086,0.5614,0.6677,0.4732,2089,947,1,1,0.6881,0.5,0.9995,0.0011
Full_data_process without SVMSMOTE,LogisticRegression,1,,,,,,,,1,1,947,2089,0.5,0.6881,0.0011,0.9995
Full_data_process without SVMSMOTE,ElasticNetLR,0,56.0141,0.0051,0.6373,0.6034,0.647,0.656,0.4557,1412,424,678,524,0.7691,0.4359,0.6756,0.5527
Full_data_process without SVMSMOTE,ElasticNetLR,1,,,,,,,,524,678,424,1412,0.4359,0.7691,0.5527,0.6756
Full_data_process without SVMSMOTE,Stacking,0,99.2606,0.1773,0.7209,0.6595,0.7138,0.7365,0.5513,1740,498,350,450,0.7775,0.5625,0.8325,0.4747
Full_data_process without SVMSMOTE,Stacking,1,,,,,,,,450,350,498,1740,0.5625,0.7775,0.4747,0.8325
