Data versioning,Model,Label,Training time,Test time,ACC,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Full_data_process without SVMSMOTE,LightGBM,0,5.9703,0.0145,0.5652,0.5648,0.5693,0.7442,0.5696,900,131,1190,817,0.8729,0.4071,0.4306,0.8618
Full_data_process without SVMSMOTE,LightGBM,1,,,,,,,,817,1190,131,900,0.4071,0.8729,0.8618,0.4306
Full_data_process without SVMSMOTE,XGBoost,0,5.8407,0.0092,0.5685,0.5681,0.5728,0.7449,0.5701,907,128,1183,820,0.8763,0.4094,0.434,0.865
Full_data_process without SVMSMOTE,XGBoost,1,,,,,,,,820,1183,128,907,0.4094,0.8763,0.865,0.434
Full_data_process without SVMSMOTE,GradientBoosting_80,0,12.1291,0.0137,0.6626,0.6441,0.6746,0.7348,0.5521,1353,288,737,660,0.8245,0.4724,0.6474,0.6962
Full_data_process without SVMSMOTE,GradientBoosting_80,1,,,,,,,,660,737,288,1353,0.4724,0.8245,0.6962,0.6474
Full_data_process without SVMSMOTE,RandomForest,0,10.993,0.0887,0.7172,0.6704,0.7171,0.7373,0.5541,1662,431,428,517,0.7941,0.5471,0.7952,0.5454
Full_data_process without SVMSMOTE,RandomForest,1,,,,,,,,517,428,431,1662,0.5471,0.7941,0.5454,0.7952
Full_data_process without SVMSMOTE,GradientBoosting_100,0,13.3985,0.0138,0.6698,0.6509,0.6815,0.7386,0.5588,1371,284,719,664,0.8284,0.4801,0.656,0.7004
Full_data_process without SVMSMOTE,GradientBoosting_100,1,,,,,,,,664,719,284,1371,0.4801,0.8284,0.7004,0.656
Full_data_process without SVMSMOTE,Naive Bayes,0,5.5243,0.0083,0.3124,0.2387,0.1497,0.4994,0.6552,2,1,2088,947,0.6667,0.312,0.001,0.9989
Full_data_process without SVMSMOTE,Naive Bayes,1,,,,,,,,947,2088,1,2,0.312,0.6667,0.9989,0.001
Full_data_process without SVMSMOTE,LogisticRegression,0,5.6605,0.0066,0.7222,0.644,0.7067,0.7356,0.5482,1809,563,281,385,0.7626,0.5781,0.8656,0.4061
Full_data_process without SVMSMOTE,LogisticRegression,1,,,,,,,,385,281,563,1809,0.5781,0.7626,0.4061,0.8656
Full_data_process without SVMSMOTE,ElasticNetLR,0,6.4426,0.0069,0.7202,0.6434,0.7056,0.7356,0.5482,1799,559,291,389,0.7629,0.5721,0.8608,0.4103
Full_data_process without SVMSMOTE,ElasticNetLR,1,,,,,,,,389,291,559,1799,0.5721,0.7629,0.4103,0.8608
Full_data_process without SVMSMOTE,Stacking,0,32.52,0.191,0.7014,0.6693,0.7081,0.7431,0.5713,1539,356,551,592,0.8121,0.5179,0.7364,0.6245
Full_data_process without SVMSMOTE,Stacking,1,,,,,,,,592,551,356,1539,0.5179,0.8121,0.6245,0.7364
